categories_str,sources_str,cosine_centroid,selection ,manual_coarse_grained,space_selection,qumcrae_label,word,lemma,wiki_frequency,word_in_wn?,word_noun_in_wn?,n_navigli_clusters,n_onto_senses_n_v,n_wn_senses,min_wn_sim_wup,av_sim_wup,polysemy_type,mipvu,wn_abs_conc,conc,fam,aoa,property,concept
neighbors-200,wikipedia_sgns_model,0.5361125883,,-,False,-,scyliorhinidae,scyliorhinidae,164,True,True,0,0,1,1.0,1.0,,,abs,,,,found_in_seas,scyliorhinidae
neighbors-200,wikipedia_sgns_model,0.5364534096,,-,False,-,zooplankton,zooplankton,1348,True,True,0,0,1,1.0,1.0,,,conc,,,,found_in_seas,zooplankton
neighbors-200,wikipedia_sgns_model,0.5364597886,,-,False,-,oreochromis,oreochromis,177,False,False,0,0,0,None,,,,-,,,,found_in_seas,oreochromis
is_found_in_seas,cslb_crowd_pos,0.5373204083,,-,False,-,kelp,kelp,1821,True,True,0,0,1,1.0,1.0,mon,,conc,,,,found_in_seas,kelp
neighbors-200,wikipedia_sgns_model,0.5380144501,,-,False,-,fundulus,fundulus,118,True,True,0,0,1,1.0,1.0,,,abs,,,,found_in_seas,fundulus
neighbors-200,wikipedia_sgns_model,0.5389584169,,-,False,-,mydas,mydas,162,False,False,0,0,0,None,,,,-,,,,found_in_seas,mydas
neighbors-200,wikipedia_sgns_model,0.5389803637,,-,False,-,blacktip,blacktip,307,False,False,0,0,0,None,,,,-,,,,found_in_seas,blacktip
neighbors-200,wikipedia_sgns_model,0.5391519414,,-,False,-,gillnets,gillnet,233,False,False,0,0,0,None,,,,-,,,,found_in_seas,gillnet
neighbors-200,wikipedia_sgns_model,0.5401246047,,-,False,-,characin,characin,125,True,True,0,0,1,1.0,1.0,,,conc,,,,found_in_seas,characin
neighbors-200,wikipedia_sgns_model,0.5727986886,,-,False,-,characins,characin,157,True,True,0,0,1,1.0,1.0,,,conc,,,,found_in_seas,characin
neighbors-200,wikipedia_sgns_model,0.540863903,,-,False,-,killifish,killifish,416,True,True,0,0,1,1.0,1.0,,,conc,,,,found_in_seas,killifish
neighbors-200,wikipedia_sgns_model,0.5409203003,,-,False,-,babelomurex,babelomurex,112,False,False,0,0,0,None,,,,-,,,,found_in_seas,babelomurex
neighbors-200,wikipedia_sgns_model,0.5411856235,,-,False,-,toothfish,toothfish,224,False,False,0,0,0,None,,,,-,,,,found_in_seas,toothfish
neighbors-200,wikipedia_sgns_model,0.5425788645,,-,False,-,schizothorax,schizothorax,200,False,False,0,0,0,None,,,,-,,,,found_in_seas,schizothorax
neighbors-200,wikipedia_sgns_model,0.5429890125,,-,False,-,lanternshark,lanternshark,146,False,False,0,0,0,None,,,,-,,,,found_in_seas,lanternshark
neighbors-200,wikipedia_sgns_model,0.5430929301,,-,False,-,silverside,silverside,230,True,True,0,0,1,1.0,1.0,mon,,conc,,,,found_in_seas,silverside
neighbors-200,wikipedia_sgns_model,0.5436644009,,-,False,-,barramundi,barramundi,207,True,True,0,0,1,1.0,1.0,,,abs,,,,found_in_seas,barramundi
neighbors-200,wikipedia_sgns_model,0.5437875499,,-,False,-,gulper,gulper,157,True,True,0,0,1,1.0,1.0,,,conc,,,,found_in_seas,gulper
is_found_in_seas,cslb_crowd_pos,0.5439112667,,-,False,-,sculpin,sculpin,689,True,True,0,0,1,1.0,1.0,,,conc,,,,found_in_seas,sculpin
neighbors-200,wikipedia_sgns_model,0.5898362752,,-,False,-,sculpins,sculpin,192,True,True,0,0,1,1.0,1.0,,,conc,,,,found_in_seas,sculpin
is_found_in_seas,cslb_crowd_pos,0.544007868,,-,False,-,rockfish,rockfish,681,True,True,1,0,3,0.16,0.3806060606060606,,,conc,,,,found_in_seas,rockfish
neighbors-200,wikipedia_sgns_model,0.5446885638,,-,False,-,salvelinus,salvelinus,233,True,True,0,0,1,1.0,1.0,,,abs,,,,found_in_seas,salvelinus
is_found_in_seas,cslb_crowd_pos,0.5448045344,,-,False,-,anchovy,anchovy,471,True,True,1,0,2,0.18181818181818182,0.18181818181818182,mon,,conc,,,,found_in_seas,anchovy
neighbors-200,wikipedia_sgns_model,0.5448210738,,-,False,-,saury,saury,132,True,True,0,0,1,1.0,1.0,,,conc,,,,found_in_seas,saury
neighbors-200,wikipedia_sgns_model,0.5448420724,,-,False,-,longnose,longnose,390,False,False,0,0,0,None,,,,-,,,,found_in_seas,longnose
neighbors-200,wikipedia_sgns_model,0.5452051185,,-,False,-,warmwater,warmwater,140,False,False,0,0,0,None,,,,-,,,,found_in_seas,warmwater
neighbors-200,wikipedia_sgns_model,0.54537497,,-,False,-,vendace,vendace,102,False,False,0,0,0,None,,,,-,,,,found_in_seas,vendace
is_found_in_seas,cslb_crowd_pos,0.5458859861,,-,False,-,crustacean,crustacean,1104,True,True,0,0,2,None,,mon,,conc,,,,found_in_seas,crustacean
is_found_in_seas,cslb_crowd_pos,0.6075096027,,-,False,-,crustaceans,crustacean,4599,True,True,0,0,2,None,,mon,,conc,,,,found_in_seas,crustacean
is_found_in_seas,cslb_crowd_pos,0.5461471016,,-,False,-,grouper,grouper,857,True,True,1,0,2,0.18181818181818182,0.18181818181818182,,,conc,,,,found_in_seas,grouper
neighbors-200,wikipedia_sgns_model,0.5463358614,,-,False,-,capelin,capelin,220,True,True,0,0,1,1.0,1.0,,,conc,,,,found_in_seas,capelin
neighbors-200,wikipedia_sgns_model,0.5464113375,,-,False,-,tuna,tuna,5163,True,True,2,0,4,0.16666666666666666,0.37559884559884554,poly,,conc,,,,found_in_seas,tuna
neighbors-200,wikipedia_sgns_model,0.5466869962,,-,False,-,epipelagic,epipelagic,152,False,False,0,0,0,None,,,,-,,,,found_in_seas,epipelagic
neighbors-200,wikipedia_sgns_model,0.5470392204,,-,False,-,mesopelagic,mesopelagic,244,False,False,0,0,0,None,,,,-,,,,found_in_seas,mesopelagic
neighbors-200,wikipedia_sgns_model,0.5473064132,,-,False,-,overfished,overfish,197,False,False,0,0,0,None,,,,-,,,,found_in_seas,overfish
neighbors-200,wikipedia_sgns_model,0.5475415718,,-,False,-,chromis,chromis,166,False,False,0,0,0,None,,,,-,,,,found_in_seas,chromis
neighbors-200,wikipedia_sgns_model,0.547667835,,-,False,-,peristernia,peristernia,105,False,False,0,0,0,None,,,,-,,,,found_in_seas,peristernia
neighbors-200,wikipedia_sgns_model,0.5477446092,,-,False,-,baitfish,baitfish,127,False,False,0,0,0,None,,,,-,,,,found_in_seas,baitfish
neighbors-200,wikipedia_sgns_model,0.5483051562,,-,False,-,milkfish,milkfish,135,False,False,0,0,0,None,,,,-,,,,found_in_seas,milkfish
neighbors-200,wikipedia_sgns_model,0.5483267135,,-,False,-,panfish,panfish,198,True,True,0,0,1,1.0,1.0,,,conc,,,,found_in_seas,panfish
neighbors-200,wikipedia_sgns_model,0.5488885938,,-,False,-,midwater,midwater,161,False,False,0,0,0,None,,,,-,,,,found_in_seas,midwater
neighbors-200,wikipedia_sgns_model,0.5490945195,,-,False,-,crayfish,crayfish,2104,True,True,1,0,4,0.19047619047619047,0.4226587301587301,poly,,conc,,,,found_in_seas,crayfish
neighbors-200,wikipedia_sgns_model,0.5493047021,,-,False,-,benthic,benthic,2413,True,False,0,0,1,1.0,1.0,,,-,,,,found_in_seas,benthic
neighbors-200,wikipedia_sgns_model,0.5495638074,,-,False,-,carangidae,carangidae,213,True,True,0,0,1,1.0,1.0,,,abs,,,,found_in_seas,carangidae
neighbors-200,wikipedia_sgns_model,0.550023927,,-,False,-,yellowfish,yellowfish,102,False,False,0,0,0,None,,,,-,,,,found_in_seas,yellowfish
is_found_in_seas,cslb_crowd_pos,0.5502656289,,-,False,-,whitebait,whitebait,176,True,True,1,0,2,0.21052631578947367,0.21052631578947367,mon,,conc,,,,found_in_seas,whitebait
neighbors-200,wikipedia_sgns_model,0.5519997471,,-,False,-,lizardfish,lizardfish,286,True,True,0,0,1,1.0,1.0,,,conc,,,,found_in_seas,lizardfish
neighbors-200,wikipedia_sgns_model,0.55278177,,-,False,-,coralliophila,coralliophila,110,False,False,0,0,0,None,,,,-,,,,found_in_seas,coralliophila
neighbors-200,wikipedia_sgns_model,0.5541644238,,-,False,-,trevally,trevally,715,False,False,0,0,0,None,,,,-,,,,found_in_seas,trevally
neighbors-200,wikipedia_sgns_model,0.5551432961,,-,False,-,amberjack,amberjack,143,True,True,0,0,1,1.0,1.0,,,conc,,,,found_in_seas,amberjack
neighbors-200,wikipedia_sgns_model,0.5555911517,,-,False,-,cardinalfish,cardinalfish,179,True,True,0,0,1,1.0,1.0,,,conc,,,,found_in_seas,cardinalfish
neighbors-200,wikipedia_sgns_model,0.5558522686,,-,False,-,neritic,neritic,116,True,False,1,0,2,None,,,,-,,,,found_in_seas,neritic
neighbors-200,wikipedia_sgns_model,0.5573369246,,-,False,-,alosa,alosa,163,True,True,0,0,1,1.0,1.0,,,abs,,,,found_in_seas,alosa
neighbors-200,wikipedia_sgns_model,0.5586044015,,-,False,-,surgeonfish,surgeonfish,159,True,True,0,0,1,1.0,1.0,,,conc,,,,found_in_seas,surgeonfish
neighbors-200,wikipedia_sgns_model,0.5595413297,,-,False,-,micropterus,micropterus,146,True,True,0,0,1,1.0,1.0,,,abs,,,,found_in_seas,micropterus
neighbors-200,wikipedia_sgns_model,0.5602761792,,-,False,-,sawshark,sawshark,106,False,False,0,0,0,None,,,,-,,,,found_in_seas,sawshark
neighbors-200,wikipedia_sgns_model,0.5607753281,,-,False,-,neritidae,neritidae,114,True,True,0,0,1,1.0,1.0,,,abs,,,,found_in_seas,neritidae
neighbors-200,wikipedia_sgns_model,0.5630423054,,-,False,-,salmon,salmon,19910,True,True,1,0,5,0.09523809523809523,0.17460317460317462,poly,non-met,abs-conc-n,,,,found_in_seas,salmon
neighbors-200,wikipedia_sgns_model,0.5632610841,,-,False,-,tilefish,tilefish,146,True,True,1,0,2,0.9375,0.9375,,,conc,,,,found_in_seas,tilefish
neighbors-200,wikipedia_sgns_model,0.5632770806,,-,False,-,pomacentridae,pomacentridae,110,True,True,0,0,1,1.0,1.0,,,abs,,,,found_in_seas,pomacentridae
neighbors-200,wikipedia_sgns_model,0.5634501486,,-,False,-,pagurus,pagurus,111,True,True,0,0,1,1.0,1.0,,,abs,,,,found_in_seas,pagurus
neighbors-200,wikipedia_sgns_model,0.5639701368,,-,False,-,blacknose,blacknose,110,False,False,0,0,0,None,,,,-,,,,found_in_seas,blacknose
neighbors-200,wikipedia_sgns_model,0.5651637635,,-,False,-,blennies,blenny,221,True,True,0,0,1,1.0,1.0,,,conc,,,,found_in_seas,blenny
neighbors-200,wikipedia_sgns_model,0.5651955648,,-,False,-,smallmouth,smallmouth,973,True,True,0,0,1,1.0,1.0,,,conc,,,,found_in_seas,smallmouth
neighbors-200,wikipedia_sgns_model,0.5654771933,,-,False,-,sunfish,sunfish,1527,True,True,2,0,3,0.16666666666666666,0.40277777777777773,mon,,conc,,,,found_in_seas,sunfish
neighbors-200,wikipedia_sgns_model,0.5657177347,,-,False,-,billfish,billfish,200,True,True,1,0,4,0.8125,0.8685990386143335,,,conc,,,,found_in_seas,billfish
neighbors-200,wikipedia_sgns_model,0.5679687766,,-,False,-,guitarfish,guitarfish,158,True,True,0,0,1,1.0,1.0,,,conc,,,,found_in_seas,guitarfish
neighbors-200,wikipedia_sgns_model,0.5689777321,,-,False,-,euryhaline,euryhaline,115,False,False,0,0,0,None,,,,-,,,,found_in_seas,euryhaline
neighbors-200,wikipedia_sgns_model,0.5691633311,,-,False,-,sillaginidae,sillaginidae,108,True,True,0,0,1,1.0,1.0,,,abs,,,,found_in_seas,sillaginidae
neighbors-200,wikipedia_sgns_model,0.5693833527,,-,False,-,piscivorous,piscivorous,235,True,False,0,0,1,1.0,1.0,,,-,,,,found_in_seas,piscivorous
neighbors-200,wikipedia_sgns_model,0.5697480102,,-,False,-,gammarus,gammarus,130,False,False,0,0,0,None,,,,-,,,,found_in_seas,gammarus
neighbors-200,wikipedia_sgns_model,0.5704796918,,-,False,-,serranidae,serranidae,139,True,True,0,0,1,1.0,1.0,,,abs,,,,found_in_seas,serranidae
neighbors-200,wikipedia_sgns_model,0.5712866638,,-,False,-,holothuria,holothuria,106,True,True,0,0,1,1.0,1.0,,,abs,,,,found_in_seas,holothuria
neighbors-200,wikipedia_sgns_model,0.5726786092,,-,False,-,rorquals,rorqual,128,True,True,0,0,1,1.0,1.0,,,conc,,,,found_in_seas,rorqual
neighbors-200,wikipedia_sgns_model,0.5727003747,,-,False,-,panulirus,panulirus,105,False,False,0,0,0,None,,,,-,,,,found_in_seas,panulirus
neighbors-200,wikipedia_sgns_model,0.5737435136,,-,False,-,finfish,finfish,222,False,False,0,0,0,None,,,,-,,,,found_in_seas,finfish
neighbors-200,wikipedia_sgns_model,0.5741215019,,-,False,-,shovelnose,shovelnose,170,False,False,0,0,0,None,,,,-,,,,found_in_seas,shovelnose
is_found_in_seas,cslb_crowd_pos,0.5741523831,,-,False,-,dogfish,dogfish,607,True,True,1,0,2,0.7333333333333333,0.7333333333333333,mon,,conc,,,,found_in_seas,dogfish
neighbors-200,wikipedia_sgns_model,0.5754794049,,-,False,-,amphipods,amphipod,614,True,True,0,0,1,1.0,1.0,,,conc,,,,found_in_seas,amphipod
neighbors-200,wikipedia_sgns_model,0.5759941722,,-,False,-,swellshark,swellshark,111,False,False,0,0,0,None,,,,-,,,,found_in_seas,swellshark
neighbors-200,wikipedia_sgns_model,0.5783434728,,-,False,-,bullheads,bullhead,132,True,True,2,0,2,0.7878787878787878,0.7878787878787878,,,conc,,,,found_in_seas,bullhead
neighbors-200,wikipedia_sgns_model,0.5785383593,,-,False,-,lepomis,lepomis,172,True,True,0,0,1,1.0,1.0,,,abs,,,,found_in_seas,lepomis
neighbors-200,wikipedia_sgns_model,0.5792086015,,-,False,-,cyprinids,cyprinid,135,True,True,0,0,2,None,,,,conc,,,,found_in_seas,cyprinid
neighbors-200,wikipedia_sgns_model,0.5798371979,,-,False,-,garfish,garfish,103,True,True,0,0,1,1.0,1.0,,,conc,,,,found_in_seas,garfish
neighbors-200,wikipedia_sgns_model,0.5804840954,,-,False,-,shortfin,shortfin,186,False,False,0,0,0,None,,,,-,,,,found_in_seas,shortfin
is_found_in_seas,cslb_crowd_pos,0.5817407692,,-,False,-,muskellunge,muskellunge,300,True,True,1,0,2,0.15384615384615385,0.15384615384615385,,,conc,,,,found_in_seas,muskellunge
neighbors-200,wikipedia_sgns_model,0.5818440496,,-,False,-,bigeye,bigeye,305,True,True,0,0,1,1.0,1.0,,,conc,,,,found_in_seas,bigeye
is_found_in_seas,cslb_crowd_pos,0.5830214858,,-,False,-,yellowfin,yellowfin,395,True,True,0,0,1,0.8888888888888888,0.8888888888888888,,,conc,,,,found_in_seas,yellowfin
neighbors-200,wikipedia_sgns_model,0.583964455,,-,False,-,sharpnose,sharpnose,110,False,False,0,0,0,None,,,,-,,,,found_in_seas,sharpnose
neighbors-200,wikipedia_sgns_model,0.5839893763,,-,False,-,gastromyzon,gastromyzon,109,False,False,0,0,0,None,,,,-,,,,found_in_seas,gastromyzon
neighbors-200,wikipedia_sgns_model,0.5853713417,,-,False,-,redhorse,redhorse,207,True,True,0,0,1,1.0,1.0,,,conc,,,,found_in_seas,redhorse
neighbors-200,wikipedia_sgns_model,0.5854426932,,-,False,-,sawtail,sawtail,131,False,False,0,0,0,None,,,,-,,,,found_in_seas,sawtail
neighbors-200,wikipedia_sgns_model,0.5863238152,,-,False,-,salmonidae,salmonidae,132,True,True,0,0,1,1.0,1.0,,,abs,,,,found_in_seas,salmonidae
neighbors-200,wikipedia_sgns_model,0.5892769029,,-,False,-,perciformes,perciforme,200,False,False,0,0,0,None,,,,-,,,,found_in_seas,perciforme
neighbors-200,wikipedia_sgns_model,0.589842755,,-,False,-,mysids,mysid,126,False,False,0,0,0,None,,,,-,,,,found_in_seas,mysid
neighbors-200,wikipedia_sgns_model,0.5902948733,,-,False,-,pelagic,pelagic,2200,True,False,0,0,1,1.0,1.0,mon,,-,,,,found_in_seas,pelagic
neighbors-200,wikipedia_sgns_model,0.5909127663,,-,False,-,eel,eel,6510,True,True,1,0,2,0.18181818181818182,0.18181818181818182,mon,,conc,634,433,,found_in_seas,eel
is_found_in_seas,cslb_crowd_pos,0.5916559144,,-,False,-,catfish,catfish,6112,True,True,2,0,3,0.16,0.3821376811594203,mon,,conc,614,416,411,found_in_seas,catfish
neighbors-200,wikipedia_sgns_model,0.5926638148,,-,False,-,syngnathidae,syngnathidae,128,True,True,0,0,1,1.0,1.0,,,abs,,,,found_in_seas,syngnathidae
is_found_in_seas,cslb_crowd_pos,0.5929596985,,-,False,-,bluefin,bluefin,708,True,True,1,0,2,0.17391304347826086,0.17391304347826086,,,conc,,,,found_in_seas,bluefin
is_found_in_seas,cslb_crowd_pos,0.5947748872,,-,False,-,threadfin,threadfin,176,True,True,0,0,1,1.0,1.0,,,conc,,,,found_in_seas,threadfin
neighbors-200,wikipedia_sgns_model,0.5964701148,,-,False,-,acheilognathus,acheilognathu,127,False,False,0,0,0,None,,,,-,,,,found_in_seas,acheilognathu
neighbors-200,wikipedia_sgns_model,0.5968699575,,-,False,-,squid,squid,4748,True,True,1,0,2,0.21052631578947367,0.21052631578947367,mon,,conc,,,,found_in_seas,squid
is_found_in_seas is_found_in_seas is_found_in_seas is_found_in_seas,cslb_crowd_pos manually_included manually_included,0.5993125389,,-,False,-,trout,trout,16785,True,True,1,0,2,0.2,0.2,poly,,conc,617,479,394,found_in_seas,trout
is_found_in_seas,cslb_crowd_pos,0.59953128,,-,False,-,shellfish,shellfish,2843,True,True,1,0,2,0.25,0.25,poly,,conc,,,,found_in_seas,shellfish
neighbors-200,wikipedia_sgns_model,0.600070574,,-,False,-,epinephelus,epinephelus,156,True,True,0,0,1,1.0,1.0,,,abs,,,,found_in_seas,epinephelus
neighbors-200,wikipedia_sgns_model,0.6001717561,,-,False,-,thunnus,thunnus,102,True,True,0,0,1,1.0,1.0,,,abs,,,,found_in_seas,thunnus
neighbors-200,wikipedia_sgns_model,0.6003653843,,-,False,-,bycatch,bycatch,899,True,True,0,0,1,1.0,1.0,,,conc,,,,found_in_seas,bycatch
neighbors-200,wikipedia_sgns_model,0.6007691639,,-,False,-,demersal,demersal,910,False,False,0,0,0,None,,,,-,,,,found_in_seas,demersal
is_found_in_seas,cslb_crowd_pos,0.6040542468,,-,False,-,seabass,seabass,149,False,False,0,0,0,None,,,,-,,,,found_in_seas,seabass
neighbors-200,wikipedia_sgns_model,0.6042342562,,-,False,-,houndshark,houndshark,122,False,False,0,0,0,None,,,,-,,,,found_in_seas,houndshark
is_found_in_seas,cslb_crowd_pos,0.6058972103,,-,False,-,longfin,longfin,301,False,False,0,0,0,None,,,,-,,,,found_in_seas,longfin
neighbors-200,wikipedia_sgns_model,0.6063418055,,-,False,-,needlefish,needlefish,106,True,True,1,0,2,0.9285714285714286,0.9285714285714286,,,conc,,,,found_in_seas,needlefish
neighbors-200,wikipedia_sgns_model,0.6073733902,,-,False,-,crevalle,crevalle,157,False,False,0,0,0,None,,,,-,,,,found_in_seas,crevalle
is_found_in_seas,cslb_crowd_pos,0.6077754228,,-,False,-,flatfish,flatfish,402,True,True,1,0,2,0.17391304347826086,0.17391304347826086,mon,,conc,,,,found_in_seas,flatfish
neighbors-200,wikipedia_sgns_model,0.6092250966,,-,False,-,freshwater,freshwater,20527,True,True,0,0,1,0.8181818181818182,0.8181818181818182,poly,non-met,abs,,,,found_in_seas,freshwater
neighbors-200,wikipedia_sgns_model,0.6119524208,,-,False,-,gamefish,gamefish,170,False,False,0,0,0,None,,,,-,,,,found_in_seas,gamefish
neighbors-200,wikipedia_sgns_model,0.6119861969,,-,False,-,goatfish,goatfish,114,True,True,0,0,1,0.8823529411764706,0.8823529411764706,,,conc,,,,found_in_seas,goatfish
neighbors-200,wikipedia_sgns_model,0.6120477067,,-,False,-,shortnose,shortnose,109,False,False,0,0,0,None,,,,-,,,,found_in_seas,shortnose
neighbors-200,wikipedia_sgns_model,0.6122663291,,-,False,-,benthopelagic,benthopelagic,195,False,False,0,0,0,None,,,,-,,,,found_in_seas,benthopelagic
neighbors-200,wikipedia_sgns_model,0.6124479156,,-,False,-,sebastes,sebaste,166,False,False,0,0,0,None,,,,-,,,,found_in_seas,sebaste
neighbors-200,wikipedia_sgns_model,0.61344043,,-,False,-,gobiidae,gobiidae,132,True,True,0,0,1,1.0,1.0,,,abs,,,,found_in_seas,gobiidae
is_found_in_seas,cslb_crowd_pos,0.6163282587,,-,False,-,burbot,burbot,327,True,True,0,0,1,1.0,1.0,,,conc,,,,found_in_seas,burbot
is_found_in_seas,cslb_crowd_pos,0.6175926647,,-,False,-,halibut,halibut,784,True,True,1,0,2,0.16,0.16,mon,,conc,,,,found_in_seas,halibut
neighbors-200,wikipedia_sgns_model,0.625983784,,-,False,-,mackerel,mackerel,1880,True,True,1,0,2,0.16,0.16,poly,,conc,636,398,436,found_in_seas,mackerel
neighbors-200,wikipedia_sgns_model,0.6306923078,,-,False,-,sardinella,sardinella,147,False,False,0,0,0,None,,,,-,,,,found_in_seas,sardinella
neighbors-200,wikipedia_sgns_model,0.6312733116,,-,False,-,perciform,perciform,149,False,False,0,0,0,None,,,,-,,,,found_in_seas,perciform
neighbors-200,wikipedia_sgns_model,0.641035429,,-,False,-,bluntnose,bluntnose,106,False,False,0,0,0,None,,,,-,,,,found_in_seas,bluntnose
neighbors-200,wikipedia_sgns_model,0.6556794775,,-,False,-,surfperch,surfperch,111,True,True,0,0,1,1.0,1.0,,,conc,,,,found_in_seas,surfperch
neighbors-200,wikipedia_sgns_model,0.659340615,,-,False,-,clupeidae,clupeidae,123,True,True,0,0,1,1.0,1.0,,,abs,,,,found_in_seas,clupeidae
