sources_str,categories_str,cosine_centroid,manual_coarse_grained,space_selection,qumcrae_label,word,lemma,wiki_frequency,word_in_wn?,word_noun_in_wn?,n_navigli_clusters,n_onto_senses_n_v,n_wn_senses,min_wn_sim_wup,av_sim_wup,polysemy_type,mipvu,wn_abs_conc,conc,fam,aoa,property,concept
wikipedia_sgns_model,neighbors-200,0.344352216,-,True,-,wheelbarrow,wheelbarrow,537,True,True,0,0,2,None,,mon,,conc,,,,roll,wheelbarrow
cslb,does_roll,0.5021193398,-,True,-,skateboard,skateboard,2363,True,True,0,0,2,None,,mon,,conc,,,,roll,skateboard
wikipedia_sgns_model,neighbors-200,0.3540890417,-,True,-,cart,cart,10134,True,True,2,0,4,0.25,0.5059523809523809,homonyms_only_different_pos,,conc,576,454,258,roll,cart
wikipedia_sgns_model,neighbors-200,0.3480085696,-,True,-,z06,z06,177,False,False,0,0,0,None,,,,-,,,,roll,z06
wikipedia_sgns_model,neighbors-200,0.4391444163,-,True,-,tires,tire,10107,True,True,2,4,5,0.15384615384615385,0.22353664853664856,homonyms_only_different_pos,,conc,,,,roll,tire
wikipedia_sgns_model,neighbors-200,0.4477954428,-,True,-,tire,tire,12007,True,True,2,4,5,0.15384615384615385,0.22353664853664856,homonyms_only_different_pos,,conc,563,546,,roll,tire
wikipedia_sgns_model,neighbors-200,0.3846473804,-,True,-,wheelsets,wheelset,143,False,False,0,0,0,None,,,,-,,,,roll,wheelset
wikipedia_sgns_model,neighbors-200,0.38703177,-,True,-,wheelset,wheelset,173,False,False,0,0,0,None,,,,-,,,,roll,wheelset
wikipedia_sgns_model,neighbors-200,0.3562784239,-,True,-,windshield,windshield,2820,True,True,0,0,1,1.0,1.0,poly,,conc,,,,roll,windshield
wikipedia_sgns_model,neighbors-200,0.3892243327,-,True,-,footrest,footrest,110,True,True,0,0,1,1.0,1.0,,,conc,,,,roll,footrest
wikipedia_sgns_model,neighbors-200,0.4157052979,-,True,-,footrests,footrest,118,True,True,0,0,1,1.0,1.0,,,conc,,,,roll,footrest
wikipedia_sgns_model,neighbors-200,0.3667562922,-,True,-,jackshaft,jackshaft,129,False,False,0,0,0,None,,,,-,,,,roll,jackshaft
wikipedia_sgns_model,neighbors-200,0.3541028029,-,True,-,braking,brake,6666,True,True,4,1,7,0.1111111111111111,0.38213957759412304,homonyms_also_same_pos,non-met,abs-conc,,,,roll,brake
wikipedia_sgns_model,neighbors-200,0.3814936898,-,True,-,brakes,brake,12850,True,True,4,1,7,0.1111111111111111,0.38213957759412304,homonyms_also_same_pos,non-met,abs-conc,,,,roll,brake
wikipedia_sgns_model,neighbors-200,0.3988499121,-,True,-,brake,brake,14575,True,True,4,1,7,0.1111111111111111,0.38213957759412304,homonyms_also_same_pos,non-met,abs-conc,526,551,,roll,brake
wikipedia_sgns_model,neighbors-200,0.3715419455,-,True,-,axles,axle,4065,True,True,0,1,1,1.0,1.0,mon,,conc,,,,roll,axle
wikipedia_sgns_model,neighbors-200,0.3752530744,-,True,-,axle,axle,11659,True,True,0,1,1,1.0,1.0,mon,,conc,555,482,,roll,axle
wikipedia_sgns_model,neighbors-200,0.3463879065,-,True,-,wheeled,wheel,6142,True,True,3,4,11,0.10526315789473684,0.4312622680355737,homonyms_only_different_pos,met non-met,abs-conc,,,,roll,wheel
wikipedia_sgns_model,neighbors-200,0.5347733342,-,True,-,wheels,wheel,35256,True,True,3,4,11,0.10526315789473684,0.4312622680355737,homonyms_only_different_pos,met non-met,abs-conc,,,,roll,wheel
cslb,does_roll,0.5576200462,,True,-,wheel,wheel,61751,True,True,3,4,11,0.10526315789473684,0.4312622680355737,homonyms_only_different_pos,met non-met,abs-conc,573,566,,roll,wheel
wikipedia_sgns_model,neighbors-200,0.3867052315,-,True,-,bike,bike,24297,True,True,1,0,3,0.7272727272727273,0.7272727272727273,mon,,conc,,,,roll,bike
wikipedia_sgns_model,neighbors-200,0.3778486031,-,True,-,underbone,underbone,108,False,False,0,0,0,None,,,,-,,,,roll,underbone
wikipedia_sgns_model,neighbors-200,0.3402876685,-,True,-,wagon,wagon,20104,True,True,1,0,5,0.4,0.6160505127553181,,non-met,conc-n,,443,,roll,wagon
wikipedia_sgns_model,neighbors-200,0.3589593686,-,True,-,car,car,294557,True,True,1,4,5,0.47619047619047616,0.6434791524265209,poly,non-met,conc,622,634,197,roll,car
manually_included,pos,0.3679534373,-,True,-,pen,pen,27842,True,True,4,0,6,0.3333333333333333,0.5124242424242424,homonyms_also_same_pos,non-met,conc,571,554,,roll,pen
wikipedia_sgns_model,neighbors-200,0.3545288844,-,True,-,railing,rail,1863,True,True,7,7,15,0.08333333333333333,0.2361229679411496,homonyms_also_same_pos,non-met,abs-conc,,,,roll,rail
wikipedia_sgns_model,neighbors-200,0.3686784303,-,True,-,rails,rail,13497,True,True,7,7,15,0.08333333333333333,0.2361229679411496,homonyms_also_same_pos,non-met,abs-conc,,,,roll,rail
wikipedia_sgns_model,neighbors-200,0.3870189748,-,True,-,rollers,roller,4236,True,True,5,0,7,0.08333333333333333,0.24074601115361582,poly,met,abs-conc,,,,roll,roller
wikipedia_sgns_model,neighbors-200,0.3405354958,-,True,-,blepharomastix,blepharomastix,171,False,False,0,0,0,None,,,,-,,,,roll,blepharomastix
wikipedia_sgns_model,neighbors-200,0.3504809111,-,True,-,pegs,peg,1653,True,True,5,6,10,0.1111111111111111,0.3273818618356434,homonyms_only_different_pos,non-met,abs-conc,,,,roll,peg
wikipedia_sgns_model,neighbors-200,0.3391134481,-,True,-,corkscrews,corkscrew,160,True,True,0,0,2,None,,poly,,conc,,,,roll,corkscrew
wikipedia_sgns_model,neighbors-200,0.3386122912,-,True,-,pencil,pencil,6597,True,True,2,0,5,0.13333333333333333,0.27843137254901956,homonyms_only_different_pos,non-met,abs-conc,617,598,225,roll,pencil
wikipedia_sgns_model,neighbors-200,0.3486408363,-,True,-,spindle,spindle,4527,True,True,2,0,5,0.23529411764705882,0.4253074144637613,poly,non-met,abs-conc,,,,roll,spindle
wikipedia_sgns_model,neighbors-200,0.363042826,-,True,-,detent,detent,180,True,True,0,0,1,1.0,1.0,,,conc,,,,roll,detent
wikipedia_sgns_model,neighbors-200,0.3785317658,-,True,-,screw,screw,10449,True,True,5,14,10,0.2,0.33970678507863866,homonyms_only_different_pos,non-met,conc,,,,roll,screw
wikipedia_sgns_model,neighbors-200,0.4211910529,-,True,-,screws,screw,3216,True,True,5,14,10,0.2,0.33970678507863866,homonyms_only_different_pos,non-met,conc,,,,roll,screw
wikipedia_sgns_model,neighbors-200,0.3457366294,-,True,-,pin,pin,22609,True,True,6,5,15,0.10526315789473684,0.30658129829702685,homonyms_only_different_pos,non-met,abs-conc,600,524,261,roll,pin
manually_included,neg,0.3698792004,-,True,-,pins,pin,8389,True,True,6,5,15,0.10526315789473684,0.30658129829702685,homonyms_only_different_pos,non-met,abs-conc,,,,roll,pin
wikipedia_sgns_model,neighbors-200,0.3484189829,-,True,-,handguards,handguard,101,False,False,0,0,0,None,,,,-,,,,roll,handguard
wikipedia_sgns_model,neighbors-200,0.342932781,-,True,-,eyelets,eyelet,159,True,True,1,0,2,0.5555555555555556,0.5555555555555556,mon,,conc,,,,roll,eyelet
wikipedia_sgns_model,neighbors-200,0.3467815156,-,True,-,surfboard,surfboard,846,True,True,0,0,2,None,,mon,,conc,,,,roll,surfboard
wikipedia_sgns_model,neighbors-200,0.4159602232,-,True,-,kickstand,kickstand,101,True,True,0,0,1,1.0,1.0,,,conc,,,,roll,kickstand
wikipedia_sgns_model,neighbors-200,0.3396464398,-,True,-,handrails,handrail,575,True,True,0,0,1,1.0,1.0,mon,non-met,conc,,,,roll,handrail
wikipedia_sgns_model,neighbors-200,0.357024496,-,True,-,tappets,tappet,169,True,True,0,0,1,1.0,1.0,mon,,conc,,,,roll,tappet
wikipedia_sgns_model,neighbors-200,0.3411866055,-,True,-,tray,tray,2969,True,True,0,1,1,1.0,1.0,poly,non-met,conc,590,558,,roll,tray
wikipedia_sgns_model,neighbors-200,0.3395767804,-,True,-,saws,saw,1630,True,True,2,7,28,0.11764705882352941,0.27281347721068244,homonyms_also_same_pos,,abs-conc,,,,roll,saw
wikipedia_sgns_model,neighbors-200,0.3550181586,-,True,-,chimney,chimney,9203,True,True,2,0,2,0.9,0.9,poly,non-met,conc,,479,,roll,chimney
wikipedia_sgns_model,neighbors-200,0.3536629468,-,True,-,airscrew,airscrew,118,True,True,0,0,1,1.0,1.0,,,conc,,,,roll,airscrew
wikipedia_sgns_model,neighbors-200,0.3827894319,-,True,-,barrels,barrel,11168,True,True,2,8,6,0.10526315789473684,0.22013627583287027,poly,non-met,abs-conc,,,,roll,barrel
cslb,does_roll,0.5091540309,-,True,-,barrel,barrel,26331,True,True,2,8,6,0.10526315789473684,0.22013627583287027,poly,non-met,abs-conc,590,487,319,roll,barrel
wikipedia_sgns_model,neighbors-200,0.3483294856,-,True,-,buckets,bucket,2181,True,True,2,0,4,0.13333333333333333,0.19166666666666665,homonyms_only_different_pos,,abs-conc,,,,roll,bucket
wikipedia_sgns_model,neighbors-200,0.3661299112,-,True,-,bucket,bucket,7172,True,True,2,0,4,0.13333333333333333,0.19166666666666665,homonyms_only_different_pos,,abs-conc,594,506,,roll,bucket
wikipedia_sgns_model,neighbors-200,0.3851614225,-,True,-,stovetop,stovetop,104,False,False,0,0,0,None,,,,-,,,,roll,stovetop
wikipedia_sgns_model,neighbors-200,0.3553553208,-,True,-,stick,stick,24559,True,True,11,22,25,0.10526315789473684,0.27634749509749484,homonyms_also_same_pos,met non-met,abs-conc,604,528,,roll,stick
wikipedia_sgns_model,neighbors-200,0.3474087622,-,True,-,dowels,dowel,189,True,True,0,0,1,1.0,1.0,mon,,conc,,,,roll,dowel
wikipedia_sgns_model,neighbors-200,0.3464785992,-,True,-,headstock,headstock,815,True,True,0,0,1,1.0,1.0,,,conc,,,,roll,headstock
wikipedia_sgns_model,neighbors-200,0.3684114164,-,True,-,pulleys,pulley,904,True,True,0,0,1,1.0,1.0,mon,,conc,,,,roll,pulley
wikipedia_sgns_model,neighbors-200,0.4180363374,-,True,-,pulley,pulley,1610,True,True,0,0,1,1.0,1.0,mon,,conc,,,,roll,pulley
wikipedia_sgns_model,neighbors-200,0.3537626777,-,True,-,ferrule,ferrule,162,True,True,0,0,1,1.0,1.0,mon,,conc,,,,roll,ferrule
wikipedia_sgns_model,neighbors-200,0.3461347587,-,True,-,ropes,rope,7445,True,True,2,0,4,0.18181818181818182,0.2159090909090909,homonyms_only_different_pos,,conc,,,,roll,rope
wikipedia_sgns_model,neighbors-200,0.4155086264,-,True,-,rope,rope,18600,True,True,2,0,4,0.18181818181818182,0.2159090909090909,homonyms_only_different_pos,,conc,608,539,281,roll,rope
wikipedia_sgns_model,neighbors-200,0.3816396937,-,True,-,plunger,plunger,1071,True,True,2,0,4,0.38095238095238093,0.46733500417710944,poly,,conc,,,,roll,plunger
wikipedia_sgns_model,neighbors-200,0.3908417376,-,True,-,plungers,plunger,123,True,True,2,0,4,0.38095238095238093,0.46733500417710944,poly,,conc,,,,roll,plunger
wikipedia_sgns_model,neighbors-200,0.3748531073,-,True,-,crosshead,crosshead,205,True,True,0,0,2,0.11764705882352941,0.11764705882352941,,,abs-conc,,,,roll,crosshead
wikipedia_sgns_model,neighbors-200,0.3412851425,-,True,-,chocks,chock,119,True,True,1,0,4,0.25,0.25,homonyms_only_different_pos,,conc,,,,roll,chock
wikipedia_sgns_model,neighbors-200,0.3983152785,-,True,-,pipe,pipe,26985,True,True,6,16,9,0.11764705882352941,0.36066176470588235,homonyms_only_different_pos,non-met,abs-conc,602,535,,roll,pipe
wikipedia_sgns_model,neighbors-200,0.3517490897,-,True,-,skis,ski,2702,True,True,0,0,2,None,,homonyms_only_different_pos,,conc,,,,roll,ski
wikipedia_sgns_model,neighbors-200,0.4077253806,-,True,-,workpiece,workpiece,1308,True,True,0,0,1,1.0,1.0,,,conc,,,,roll,workpiece
wikipedia_sgns_model,neighbors-200,0.3402462116,-,True,-,shafts,shaft,7014,True,True,5,0,14,0.10526315789473684,0.2907495541657147,homonyms_only_different_pos,,abs-conc,,,,roll,shaft
wikipedia_sgns_model,neighbors-200,0.395495846,-,True,-,shaft,shaft,19554,True,True,5,0,14,0.10526315789473684,0.2907495541657147,homonyms_only_different_pos,,abs-conc,,,,roll,shaft
wikipedia_sgns_model,neighbors-200,0.3519875642,-,True,-,breechblock,breechblock,208,True,True,0,0,1,1.0,1.0,,,conc,,,,roll,breechblock
wikipedia_sgns_model,neighbors-200,0.3527119706,-,True,-,corselet,corselet,104,True,True,0,0,1,1.0,1.0,homonyms_also_same_pos,,conc,,,,roll,corselet
wikipedia_sgns_model,neighbors-200,0.3773269234,-,True,-,trunnions,trunnion,160,False,False,0,0,0,None,,,,-,,,,roll,trunnion
wikipedia_sgns_model,neighbors-200,0.3866174421,-,True,-,trunnion,trunnion,210,False,False,0,0,0,None,,,,-,,,,roll,trunnion
wikipedia_sgns_model,neighbors-200,0.3626810504,-,True,-,backrest,backrest,182,True,True,0,0,1,1.0,1.0,,,conc,,,,roll,backrest
wikipedia_sgns_model,neighbors-200,0.3676394853,-,True,-,paddle,paddle,6178,True,True,3,5,10,0.2,0.351438480761789,homonyms_also_same_pos,,conc,,,,roll,paddle
wikipedia_sgns_model,neighbors-200,0.3460713957,-,True,-,noseband,noseband,169,True,True,0,0,1,1.0,1.0,,,conc,,,,roll,noseband
wikipedia_sgns_model,neighbors-200,0.3469468742,-,True,-,carabiner,carabiner,157,True,True,0,0,1,1.0,1.0,,,conc,,,,roll,carabiner
wikipedia_sgns_model,neighbors-200,0.3474656125,-,True,-,hammer,hammer,23090,True,True,3,4,10,0.08695652173913043,0.4049289435938216,homonyms_only_different_pos,met non-met,abs-conc,605,515,278,roll,hammer
wikipedia_sgns_model,neighbors-200,0.3394780396,-,True,-,fireplace,fireplace,5533,True,True,0,0,1,1.0,1.0,poly,,conc,592,529,,roll,fireplace
wikipedia_sgns_model,neighbors-200,0.428120823,-,True,-,chainring,chainr,149,False,False,0,0,0,None,,,,-,,,,roll,chainr
wikipedia_sgns_model,neighbors-200,0.4035970708,-,True,-,swaging,swaging,104,True,False,0,0,4,0.2,0.2111111111111111,,,-,,,,roll,swaging
wikipedia_sgns_model,neighbors-200,0.3477673449,-,True,-,shovel,shovel,2543,True,True,1,0,5,0.125,0.4044590643274853,homonyms_only_different_pos,non-met,abs-conc,581,528,,roll,shovel
wikipedia_sgns_model,neighbors-200,0.351911694,-,True,-,blade,blade,24836,True,True,4,0,9,0.21052631578947367,0.38687090820733744,poly,non-met,conc,584,517,344,roll,blade
wikipedia_sgns_model,neighbors-200,0.3571717172,-,True,-,mandrel,mandrel,373,True,True,0,0,1,1.0,1.0,,,conc,,,,roll,mandrel
wikipedia_sgns_model,neighbors-200,0.374468752,-,True,-,drawstring,drawstr,120,False,False,0,0,0,None,,,,-,,,,roll,drawstr
wikipedia_sgns_model,neighbors-200,0.3843632797,-,True,-,sheave,sheave,127,False,False,0,0,0,None,,,,-,,,,roll,sheave
wikipedia_sgns_model,neighbors-200,0.3854458997,-,True,-,knurled,knurl,111,False,False,0,0,0,None,,,,-,,,,roll,knurl
wikipedia_sgns_model,neighbors-200,0.3788279166,-,True,-,chamfer,chamfer,112,True,True,1,0,3,0.75,0.75,,,conc,,,,roll,chamfer
wikipedia_sgns_model,neighbors-200,0.3978352127,-,True,-,forend,forend,102,False,False,0,0,0,None,,,,-,,,,roll,forend
wikipedia_sgns_model,neighbors-200,0.3916093305,-,True,-,wallower,wallower,185,False,False,0,0,0,None,,,,-,,,,roll,wallower
wikipedia_sgns_model,neighbors-200,0.385393205,-,True,-,foregrip,foregrip,106,False,False,0,0,0,None,,,,-,,,,roll,foregrip
wikipedia_sgns_model,neighbors-200,0.3769869355,-,True,-,wooden,wooden,66923,True,False,1,0,2,None,,poly,non-met,-,,,,roll,wooden
wikipedia_sgns_model,neighbors-200,0.3395513879,-,True,-,chamferboards,chamferboard,100,False,False,0,0,0,None,,,,-,,,,roll,chamferboard
wikipedia_sgns_model,neighbors-200,0.3670938178,-,True,-,tile,tile,9920,True,True,1,0,4,0.5555555555555556,0.5787037037037037,homonyms_only_different_pos,,conc,,,,roll,tile
wikipedia_sgns_model,neighbors-200,0.3601759132,-,True,-,leather,leather,24509,True,True,0,0,2,None,,homonyms_only_different_pos,non-met,abs,575,571,,roll,leather
wikipedia_sgns_model,neighbors-200,0.3387786672,-,True,-,cloth,cloth,19826,True,True,0,0,1,1.0,1.0,poly,non-met,conc,580,561,,roll,cloth
wikipedia_sgns_model,neighbors-200,0.3677686081,-,True,-,shoes,shoe,21972,True,True,2,0,5,0.5263157894736842,0.5937392500859993,homonyms_only_different_pos,non-met,conc,,,,roll,shoe
